4,0.5405405405405406,0.6826347305389222,0.4380952380952381,0.0,0.37454829019399977,0.7702702702702703,0.4423076923076923,0.0,0.4041926541926542,0.6129032258064516,0.4339622641509434,0.0,0.3489551633191317,"[57, 27, 9]","[17, 23, 13]","[0, 2, 0]"
2,0.527027027027027,0.6867469879518072,0.3838383838383838,0.1290322580645161,0.41207554745650715,0.7702702702702703,0.36538461538461536,0.09090909090909091,0.4088546588546588,0.6195652173913043,0.40425531914893614,0.2222222222222222,0.41534758625415424,"[57, 27, 8]","[16, 19, 12]","[1, 6, 2]"
1,0.5,0.670391061452514,0.2758620689655173,0.13333333333333333,0.38272244241163533,0.8108108108108109,0.23076923076923078,0.09090909090909091,0.3774963774963775,0.5714285714285714,0.34285714285714286,0.25,0.38809523809523805,"[60, 34, 11]","[14, 12, 9]","[0, 6, 2]"
0,0.527027027027027,0.6744186046511628,0.4123711340206186,0.0,0.3661271710085055,0.7837837837837838,0.38461538461538464,0.0,0.38946638946638945,0.5918367346938775,0.4444444444444444,0.0,0.345427059712774,"[58, 29, 11]","[14, 20, 11]","[2, 3, 0]"
3,0.527027027027027,0.6744186046511628,0.40425531914893614,0.06666666666666667,0.3939279316630187,0.7837837837837838,0.36538461538461536,0.045454545454545456,0.3982076482076482,0.5918367346938775,0.4523809523809524,0.125,0.3897392290249433,"[58, 27, 13]","[15, 19, 8]","[1, 6, 1]"
5,0.5067567567567568,0.6467065868263473,0.39215686274509803,0.07407407407407407,0.3900431929490852,0.7297297297297297,0.38461538461538464,0.045454545454545456,0.3865998865998866,0.5806451612903226,0.4,0.2,0.3935483870967742,"[54, 29, 10]","[19, 20, 11]","[1, 3, 1]"
9,0.5135135135135135,0.6705202312138728,0.3505154639175258,0.07692307692307693,0.394733970589728,0.7837837837837838,0.3269230769230769,0.045454545454545456,0.38538713538713537,0.5858585858585859,0.37777777777777777,0.25,0.40454545454545454,"[58, 32, 9]","[16, 17, 12]","[0, 3, 1]"
8,0.5337837837837838,0.6785714285714286,0.4271844660194175,0.0,0.3700420229292196,0.7702702702702703,0.4230769230769231,0.0,0.39778239778239777,0.6063829787234043,0.43137254901960786,0.0,0.3459185092476707,"[57, 28, 9]","[16, 22, 13]","[1, 2, 0]"
7,0.5472972972972973,0.711864406779661,0.39560439560439564,0.0,0.37731467710933825,0.8513513513513513,0.34615384615384615,0.0,0.3991683991683992,0.6116504854368932,0.46153846153846156,0.0,0.3577296489917849,"[63, 28, 12]","[11, 18, 10]","[0, 6, 0]"
6,0.5337837837837838,0.6820809248554912,0.3870967741935483,0.13333333333333333,0.4197211643180125,0.7972972972972973,0.34615384615384615,0.09090909090909091,0.4114534114534114,0.5959595959595959,0.43902439024390244,0.25,0.4283279954011661,"[59, 31, 9]","[12, 18, 11]","[3, 3, 2]"
datasize,148

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
4,[0.         0.         0.         ... 0.00358183 0.         0.        ],[0.        0.        0.        ... 0.0048678 0.        0.       ],[0.         0.00031881 0.         ... 0.00199817 0.00037686 0.0003306 ],[0.00083189 0.         0.         ... 0.00355905 0.00017    0.00091328],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00025362 ... 0.00348437 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00127307],[0.         0.         0.         ... 0.00090654 0.00118268 0.        ],[0.         0.         0.         ... 0.00048371 0.0009697  0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00040281 ... 0.00278615 0.         0.        ],[0.         0.         0.         ... 0.00439096 0.         0.        ],[0.         0.00230683 0.         ... 0.         0.         0.        ],[0.00247329 0.         0.         ... 0.         0.00084317 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00991354 0.00357852 0.         ... 0.         0.         0.        ],[0.00909194 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00182043 ... 0.00108091 0.00147697 0.        ],[0.         0.         0.         ... 0.00418668 0.00261374 0.        ],[0.00064446 0.00157683 0.00109231 ... 0.00359789 0.00299694 0.        ],[0.00157322 0.         0.00045988 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.01221405 0.         0.         ... 0.         0.         0.        ],[0.00193142 0.         0.         ... 0.00169739 0.00203389 0.        ],[0.00819625 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00105591 ... 0.00705956 0.         0.        ],[0.00139164 0.         0.         ... 0.         0.00092268 0.        ],[0.        0.        0.        ... 0.0034666 0.        0.       ],[0.00103848 0.00047053 0.         ... 0.0045184  0.00063056 0.        ],[0.         0.         0.         ... 0.00178566 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00553812 0.00077519 0.        ],[0.00050153 0.00046458 0.00013625 ... 0.00297902 0.00108179 0.00057691],[0.         0.         0.         ... 0.00801416 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00152803 0.         0.00504646 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.]
2,[0.00065277 0.         0.         ... 0.         0.00376385 0.00211726],[0.         0.         0.         ... 0.00017962 0.00190112 0.        ],[0.         0.00072374 0.         ... 0.00425099 0.00122674 0.        ],[0.00152193 0.         0.         ... 0.         0.         0.        ],[0.00081461 0.         0.         ... 0.00296775 0.         0.        ],[0.00308771 0.         0.00266045 ... 0.         0.         0.        ],[0.00289079 0.         0.         ... 0.         0.00235574 0.        ],[0.         0.         0.00095316 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00067019 0.         ... 0.         0.         0.        ],[0.00018631 0.         0.00083119 ... 0.00047407 0.00202496 0.00019241],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00309213 0.00590683 ... 0.00763669 0.01316894 0.        ],[0.         0.         0.         ... 0.         0.01267284 0.        ],[0.00090954 0.00025027 0.00024085 ... 0.00287849 0.00140182 0.0003839 ],[0.         0.         0.00143208 ... 0.         0.00659305 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00516746 0.00178561],[0.00085742 0.         0.         ... 0.0033648  0.0025577  0.00032575],[0.         0.         0.         ... 0.         0.00928988 0.        ],[0.00100854 0.00047031 0.         ... 0.00026267 0.00172855 0.        ],[0.         0.         0.         ... 0.         0.01014594 0.        ],[0.         0.         0.         ... 0.         0.01031275 0.        ],[0.00052322 0.         0.00045588 ... 0.00267883 0.00109655 0.        ],[0.         0.         0.         ... 0.         0.01189769 0.        ],[0.00039109 0.         0.         ... 0.00328184 0.00377441 0.        ],[0.         0.         0.         ... 0.         0.00100134 0.        ],[0.         0.         0.         ... 0.00682177 0.         0.00193893],[0.         0.00627593 0.00367777 ... 0.         0.         0.        ],[0.         0.         0.00167465 ... 0.0031589  0.00274617 0.00026485],[0.         0.00043431 0.         ... 0.00394259 0.001273   0.        ],[0.         0.         0.00100477 ... 0.00227426 0.00169261 0.00075814],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00222135 0.         0.        ],[0.         0.         0.         ... 0.00442859 0.         0.        ],[0.00331822 0.         0.         ... 0.         0.         0.        ]
1,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00231489 0.00214217],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00160526 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00117888 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00037343 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.0012752 0.        0.       ],[0.         0.         0.00084837 ... 0.         0.         0.00068522],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00136545 ... 0.00157006 0.00166193 0.00034273],[0.         0.00148246 0.00117391 ... 0.         0.001503   0.00040584],[0. 0. 0. ... 0. 0. 0.],[0.         0.00151785 0.         ... 0.00073904 0.         0.        ],[0.         0.         0.00096292 ... 0.00262504 0.         0.        ],[0.         0.         0.00035772 ... 0.         0.00050536 0.        ],[0.         0.         0.00064239 ... 0.00289348 0.         0.        ],[0.         0.         0.         ... 0.00070614 0.         0.00083184],[0.         0.00035636 0.         ... 0.         0.         0.        ],[0.0005186  0.00035246 0.         ... 0.         0.         0.00214373],[0.00251496 0.00018672 0.00108972 ... 0.00112933 0.         0.        ],[0.         0.0016905  0.00079928 ... 0.00099789 0.         0.        ],[0.         0.         0.00262361 ... 0.         0.         0.        ],[0.0005873  0.         0.00120262 ... 0.         0.00202625 0.00093842],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00126593 ... 0.002608   0.         0.        ],[0.         0.00123465 0.00111946 ... 0.         0.00121623 0.        ],[0.         0.00050106 0.00166582 ... 0.         0.         0.        ],[0.         0.         0.00153583 ... 0.00457686 0.00049812 0.00126529],[0.         0.         0.         ... 0.         0.         0.01502328],[0. 0. 0. ... 0. 0. 0.],[0.0051164 0.        0.        ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.]
0,[0.00649409 0.         0.         ... 0.00691364 0.         0.        ],[0.00597911 0.         0.00149989 ... 0.00386332 0.         0.        ],[0.         0.00145911 0.         ... 0.00601666 0.00171688 0.00113377],[0.00120467 0.00367695 0.         ... 0.00186571 0.         0.        ],[0.         0.         0.         ... 0.00061337 0.         0.00140805],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00045909],[0.00154086 0.         0.00031589 ... 0.00701833 0.00409627 0.        ],[0.00167593 0.         0.         ... 0.00086198 0.         0.        ],[0.         0.00330424 0.         ... 0.00774508 0.00185971 0.        ],[0.         0.         0.         ... 0.00701089 0.         0.        ],[0.         0.01114286 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00388038 0.         0.        ],[0.         0.00976629 0.         ... 0.         0.         0.        ],[0.00145006 0.00084622 0.         ... 0.00326753 0.00657395 0.        ],[0.         0.         0.00075825 ... 0.00296811 0.         0.        ],[0.00574169 0.         0.         ... 0.         0.         0.        ],[0.00332876 0.         0.         ... 0.00636097 0.         0.        ],[0.00154044 0.         0.         ... 0.00405878 0.00212301 0.00130976],[0.         0.         0.         ... 0.00294266 0.         0.        ],[0.         0.         0.         ... 0.00268809 0.         0.        ],[0.         0.         0.         ... 0.00578525 0.         0.        ],[0.         0.         0.         ... 0.00923785 0.         0.        ],[0.00140194 0.         0.         ... 0.00200999 0.         0.        ],[0.00211624 0.         0.         ... 0.00369404 0.         0.        ],[0.         0.         0.         ... 0.00349609 0.         0.        ],[0.00286214 0.         0.00282501 ... 0.00234296 0.         0.        ],[0.00295333 0.00183034 0.         ... 0.         0.         0.        ],[0.00096158 0.00066022 0.00126284 ... 0.00222591 0.00241806 0.00019185],[0.         0.00588177 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00355044 ... 0.00257273 0.00236526 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00284963 0.00597196 0.00028845],[0.         0.00082242 0.         ... 0.0067629  0.01039159 0.00228225],[0.         0.         0.00346008 ... 0.         0.         0.        ]
3,[0.00300991 0.00415871 0.00059542 ... 0.0094956  0.         0.        ],[0.00086078 0.         0.00034396 ... 0.00513448 0.         0.        ],[0.         0.00133905 0.         ... 0.00577169 0.00146365 0.00036172],[0.         0.00179995 0.         ... 0.00669195 0.         0.        ],[0.         0.00163513 0.00076836 ... 0.00152077 0.         0.00046962],[0.         0.         0.         ... 0.01242031 0.         0.        ],[0.         0.         0.         ... 0.01778209 0.         0.        ],[0.         0.00292798 0.00063041 ... 0.00572973 0.00068798 0.00046961],[0.         0.         0.         ... 0.03180963 0.         0.        ],[0.         0.         0.         ... 0.02826699 0.         0.        ],[0.         0.         0.         ... 0.01750105 0.         0.        ],[0.00115287 0.00150142 0.00016515 ... 0.00512107 0.00033121 0.00040259],[0.         0.         0.         ... 0.01335308 0.         0.        ],[0.         0.0072892  0.         ... 0.00644853 0.         0.        ],[0.00249525 0.00361984 0.         ... 0.00560091 0.00655653 0.        ],[0.00111881 0.00050281 0.00039291 ... 0.00149103 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00088427 0.00156759 0.00069127 ... 0.00055462 0.00048745 0.00087611],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.01382733 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00041722 0.         0.00109239 ... 0.00174313 0.0009795  0.00187417],[0.        0.        0.        ... 0.0018246 0.        0.       ],[0.00111874 0.         0.         ... 0.         0.00265971 0.        ],[0.         0.         0.00073634 ... 0.00390918 0.         0.        ],[0.         0.00266333 0.00571369 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00151588 0.         0.000716   ... 0.00159559 0.         0.00208771],[0.         0.         0.00419087 ... 0.         0.00238846 0.00102107],[0.         0.         0.00032744 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00042243 ... 0.00221361 0.         0.00042319],[0.         0.         0.         ... 0.00774636 0.         0.        ],[0.         0.00067582 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00133251 0.        ]
5,[0.         0.         0.00060205 ... 0.00410708 0.         0.00069459],[0.         0.00041354 0.00087651 ... 0.00260328 0.         0.        ],[0.00049857 0.00043543 0.         ... 0.00199752 0.         0.00077976],[0.         0.         0.         ... 0.00324885 0.         0.        ],[0.         0.         0.00025244 ... 0.00427743 0.0006942  0.00020236],[0. 0. 0. ... 0. 0. 0.],[0.00121156 0.         0.00093542 ... 0.00051141 0.         0.        ],[0.         0.         0.00060239 ... 0.00040002 0.         0.001708  ],[0.         0.00050961 0.         ... 0.00149837 0.         0.00199304],[0.         0.         0.         ... 0.0017048  0.         0.00056315],[0.         0.         0.         ... 0.00223251 0.         0.        ],[0.00100509 0.00128214 0.         ... 0.         0.         0.00133274],[0.00239881 0.         0.0006178  ... 0.00536537 0.         0.00295453],[0.00241275 0.         0.         ... 0.01038037 0.         0.        ],[0.         0.         0.         ... 0.00145562 0.00087162 0.00138051],[0.         0.00291374 0.         ... 0.00146839 0.         0.0006957 ],[0.         0.         0.         ... 0.00318422 0.         0.00120128],[0.         0.         0.         ... 0.00403083 0.         0.00139813],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00151233 0.         0.00090909],[0. 0. 0. ... 0. 0. 0.],[0.00021154 0.         0.         ... 0.00489033 0.00053355 0.        ],[0.00036117 0.         0.         ... 0.00336688 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00155063 ... 0.00734442 0.0036998  0.        ],[0.00064086 0.         0.         ... 0.00148588 0.00104462 0.00016979],[0.         0.         0.         ... 0.00197772 0.         0.        ],[0.         0.         0.         ... 0.00454691 0.         0.        ],[0.00141261 0.         0.         ... 0.00274012 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00406285 0.         0.00064982],[0.        0.        0.        ... 0.0018776 0.        0.       ],[0.01181692 0.         0.         ... 0.00748077 0.01404001 0.        ],[0.         0.         0.         ... 0.00249583 0.00359322 0.        ],[0.         0.         0.00030851 ... 0.00501252 0.         0.00073329],[0. 0. 0. ... 0. 0. 0.]
9,[0.         0.         0.00056192 ... 0.00065767 0.00461771 0.00033339],[0.         0.         0.         ... 0.         0.00101684 0.        ],[0.         0.         0.         ... 0.         0.00283567 0.        ],[0.00047179 0.         0.00087525 ... 0.00619391 0.         0.        ],[0.00091788 0.         0.         ... 0.00235539 0.00429809 0.        ],[0.         0.00054689 0.0010318  ... 0.00144022 0.00364744 0.0019122 ],[0.         0.00306819 0.         ... 0.         0.         0.0043105 ],[0.00103514 0.00042197 0.         ... 0.0005391  0.00026855 0.00383134],[0.00694976 0.         0.         ... 0.00350351 0.         0.        ],[0.         0.00900935 0.00124589 ... 0.00232206 0.         0.00915479],[0.         0.         0.         ... 0.00139156 0.         0.00685148],[0.00165274 0.00223049 0.00127291 ... 0.00082348 0.0006248  0.00426138],[0.         0.         0.         ... 0.00296721 0.         0.00894377],[0.         0.         0.00086715 ... 0.00488578 0.         0.00313259],[0.         0.         0.         ... 0.         0.01056361 0.        ],[0.00087783 0.         0.         ... 0.         0.00486647 0.00210273],[0.         0.00322638 0.         ... 0.00043216 0.00443036 0.0022602 ],[0.         0.0011287  0.00045365 ... 0.00372841 0.00263209 0.00248777],[0.         0.0043828  0.         ... 0.0043801  0.00540762 0.00285604],[0.         0.         0.00064216 ... 0.000533   0.00182275 0.        ],[0.00234901 0.00204889 0.         ... 0.00163872 0.00385329 0.        ],[0.         0.00794892 0.         ... 0.         0.         0.        ],[0.00085646 0.0007152  0.         ... 0.         0.00338578 0.        ],[0.00096206 0.         0.         ... 0.         0.00029119 0.        ],[0.         0.00828916 0.         ... 0.00125891 0.         0.00336031],[0.         0.         0.         ... 0.         0.00268656 0.        ],[0.         0.00242061 0.         ... 0.00459618 0.00594756 0.        ],[0.         0.00030319 0.0013226  ... 0.00167056 0.00344215 0.00098866],[0.00090296 0.         0.00195004 ... 0.00325023 0.00171597 0.        ],[0.00018286 0.00029207 0.00144985 ... 0.00084538 0.         0.00051347],[0.         0.         0.         ... 0.00269474 0.00462579 0.        ],[0.00320496 0.         0.         ... 0.00890416 0.01435899 0.        ],[0.         0.         0.         ... 0.         0.0074586  0.00287076],[0.00502152 0.         0.         ... 0.         0.01214581 0.        ],[0.         0.         0.00185015 ... 0.00531129 0.00249969 0.        ],[0.         0.         0.00103756 ... 0.00320597 0.00351215 0.        ],[0.         0.         0.00088545 ... 0.00195379 0.00198007 0.00044217]
8,[0.         0.00285205 0.         ... 0.         0.         0.00133808],[0. 0. 0. ... 0. 0. 0.],[0.00450316 0.         0.         ... 0.         0.         0.        ],[0.00116254 0.         0.         ... 0.00082926 0.00254022 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00098758 0.00064443 0.         ... 0.00058927 0.001667   0.        ],[0.00080549 0.00223166 0.         ... 0.00112448 0.         0.        ],[0.00079458 0.00183745 0.0012557  ... 0.00142938 0.00017993 0.00054606],[0.00019647 0.00273943 0.00051073 ... 0.00213272 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00452666 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00060427 0.00051773 ... 0.         0.0029605  0.00121787],[0.         0.00164686 0.         ... 0.         0.01788033 0.        ],[0.         0.00380988 0.         ... 0.         0.01473417 0.        ],[0.         0.         0.         ... 0.00129506 0.00280927 0.        ],[0.         0.         0.         ... 0.         0.00858526 0.        ],[0.         0.         0.         ... 0.00700512 0.0181879  0.        ],[0.         0.00054533 0.00102902 ... 0.         0.00657651 0.        ],[0.         0.00264805 0.         ... 0.00279055 0.         0.        ],[0.         0.00122363 0.         ... 0.00114244 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00046597 0.         ... 0.00116635 0.00226804 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00081838 0.00048717 ... 0.         0.00226153 0.        ],[0.         0.         0.00025714 ... 0.         0.00305258 0.        ],[0.         0.00116925 0.         ... 0.         0.00322828 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00143096 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00377168 ... 0.         0.         0.        ],[0.        0.0014002 0.        ... 0.        0.        0.       ],[0.         0.         0.         ... 0.00145459 0.         0.        ],[0.         0.00075417 0.00071372 ... 0.00711648 0.00420971 0.        ]
7,[0.0055745  0.         0.         ... 0.         0.00614821 0.        ],[0.01227887 0.         0.         ... 0.         0.         0.        ],[0.01450879 0.         0.         ... 0.         0.         0.        ],[0.00116641 0.         0.         ... 0.00485553 0.0024212  0.        ],[0.         0.         0.         ... 0.00190521 0.00312913 0.00365601],[0.         0.0011572  0.00021672 ... 0.00080254 0.00418073 0.00024198],[0.00505451 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00070185 ... 0.00322641 0.00145544 0.        ],[0.00064341 0.         0.         ... 0.00302429 0.00137608 0.0004676 ],[0.         0.         0.00027317 ... 0.00041573 0.00227376 0.00070925],[0.         0.00070113 0.00107817 ... 0.         0.0024129  0.        ],[0.         0.00068444 0.00103234 ... 0.00041572 0.00293206 0.00137789],[0.         0.         0.         ... 0.         0.00357842 0.        ],[0.         0.         0.         ... 0.         0.00334657 0.        ],[0.      0.      0.      ... 0.      0.00366 0.     ],[0.00045322 0.00014911 0.0021827  ... 0.         0.00258012 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00090898 0.00082626 0.00022319],[0.         0.00014629 0.00170271 ... 0.         0.00342472 0.00092154],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00088431 0.00154472 0.00098903],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00108092 0.         0.        ],[0.00113084 0.         0.         ... 0.00087351 0.         0.        ],[0.00096131 0.         0.00119293 ... 0.00174041 0.00049166 0.        ],[0.         0.         0.00354938 ... 0.0121107  0.         0.        ],[0.         0.00215741 0.00115507 ... 0.00170041 0.         0.        ],[0.         0.         0.00217253 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00627618 0.         0.        ],[0.         0.00020006 0.00091632 ... 0.00065503 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00237077 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00472909 0.         ... 0.         0.00162151 0.        ]
6,[0.         0.00921119 0.         ... 0.         0.         0.        ],[0.         0.         0.00832419 ... 0.         0.         0.        ],[0.00219544 0.00775461 0.00195566 ... 0.         0.         0.        ],[0.00079069 0.00283335 0.         ... 0.00202729 0.         0.        ],[0.         0.0040368  0.         ... 0.00289824 0.00100867 0.        ],[0.         0.         0.         ... 0.00542039 0.00196013 0.        ],[0.         0.         0.         ... 0.00309174 0.00224968 0.        ],[0.         0.00361638 0.00084972 ... 0.00067746 0.00015208 0.        ],[0.         0.00180048 0.         ... 0.         0.         0.        ],[0.        0.0030673 0.        ... 0.        0.        0.       ],[0.         0.00142212 0.         ... 0.00342097 0.         0.        ],[0.         0.00200188 0.         ... 0.         0.         0.        ],[0.         0.00341553 0.00156099 ... 0.00190202 0.         0.        ],[0.00070178 0.00252221 0.         ... 0.0032515  0.0017731  0.00092006],[0.00424323 0.00187145 0.00699436 ... 0.         0.         0.        ],[0.        0.        0.0020887 ... 0.        0.        0.       ],[0.        0.        0.0009608 ... 0.        0.        0.       ],[0.00139325 0.00189233 0.00050862 ... 0.         0.00148612 0.        ],[0.         0.00199106 0.         ... 0.         0.         0.        ],[0.         0.00230924 0.         ... 0.         0.         0.        ],[0.         0.         0.00530946 ... 0.00817743 0.         0.        ],[0.         0.00090174 0.         ... 0.00262156 0.         0.        ],[0.         0.         0.00237489 ... 0.         0.00179333 0.        ],[0.00172517 0.00125958 0.00177424 ... 0.00309757 0.00152489 0.        ],[0.         0.00027168 0.00178296 ... 0.00269385 0.         0.00075021],[0.         0.00087237 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.        0.0028641 0.       ],[0.         0.         0.00036451 ... 0.         0.00297104 0.        ],[0.        0.        0.        ... 0.        0.0091224 0.       ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00079583 0.00226281 0.        ],[0.         0.         0.         ... 0.         0.00237279 0.        ],[0.         0.         0.         ... 0.00446208 0.         0.        ],[0.         0.         0.         ... 0.         0.00304399 0.        ]
