Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.4375,0.0,0.3,0.6101694915254238,0.30492365222810847,0.0,0.375,0.6428571428571429,0.33928571428571425,0.0,0.25,0.5806451612903226,0.27688172043010756,[0 0 5],[4 3 5],[ 8  5 18]
0.3958333333333333,0.0,0.2105263157894737,0.5862068965517241,0.2676320916572159,0.0,0.2857142857142857,0.6296296296296297,0.30511463844797176,0.0,0.16666666666666666,0.5483870967741935,0.2383512544802867,[0 0 5],[5 2 5],[ 9  5 17]
0.5416666666666666,0.0,0.3,0.7301587301587302,0.34678588690188494,0.0,0.375,0.71875,0.3645833333333333,0.0,0.25,0.7419354838709677,0.33064516129032256,[0 1 4],[4 3 5],[ 4  4 23]
0.4791666666666667,0.12500000000000003,0.11764705882352941,0.6666666666666667,0.31796915444233453,0.09090909090909091,0.2,0.65625,0.315719696969697,0.2,0.08333333333333333,0.6774193548387096,0.32025089605734763,[1 0 4],[4 1 7],[ 6  4 21]
0.4166666666666667,0.0,0.2,0.5806451612903226,0.26225934677877305,0.0,0.25,0.5806451612903226,0.27688172043010756,0.0,0.16666666666666666,0.5806451612903226,0.24910394265232974,[0 0 5],[2 2 8],[ 7  6 18]
0.4166666666666667,0.0,0.125,0.6031746031746031,0.2543094043203142,0.0,0.25,0.59375,0.28125,0.0,0.08333333333333333,0.6129032258064516,0.232078853046595,[0 0 5],[3 1 8],[ 9  3 19]
0.5,0.12500000000000003,0.125,0.6875,0.3334134119461003,0.09090909090909091,0.25,0.6666666666666666,0.33585858585858586,0.2,0.08333333333333333,0.7096774193548387,0.3310035842293907,[1 0 4],[4 1 7],[ 6  3 22]
0.5833333333333334,0.12500000000000003,0.35294117647058826,0.7619047619047619,0.4412466989436619,0.09090909090909091,0.6,0.75,0.4803030303030303,0.2,0.25,0.7741935483870968,0.4080645161290322,[1 0 4],[5 3 4],[ 5  2 24]
0.4791666666666667,0.0,0.3,0.6557377049180327,0.32095766828591255,0.0,0.375,0.6666666666666666,0.34722222222222215,0.0,0.25,0.6451612903225806,0.29838709677419356,[0 0 5],[4 3 5],[ 6  5 20]
0.5208333333333334,0.2857142857142857,0.2,0.6774193548387096,0.39833354934775717,0.2222222222222222,0.25,0.6774193548387096,0.38321385902031063,0.4,0.16666666666666666,0.6774193548387096,0.41469534050179213,[2 0 3],[3 2 7],[ 4  6 21]
