大きさ,3.63,4.06
手,4.87,5.32
で,5.32,5.43
表す,5.43,5.7
と,5.7,5.78
どれくらい,5.78,6.24
ですか,6.24,6.44
これ,6.82,7.06
いくら,7.06,7.31
D_ア,7.31,7.77
大木,7.77,8.19
さん,8.19,8.46
は,8.46,8.82
ちゃんと,9.56,9.93
分,9.93,10.45
今,10.61,10.81
何とか,10.81,11.43
大きかった,11.83,12.36
わけ,12.36,12.59
うん,13.45,13.69
ぐらい,13.69,13.94
ぐらい,13.94,14.17
前,14.17,14.29
はい,15.85,16.1
幼い,16.45,16.84
それ,22.01,22.51
を,22.51,22.6
触って,22.6,23.17
すら,23.17,23.45
危ない,23.45,23.84
とか,23.84,24.09
あります,24.23,24.71
か,24.71,24.79
うん,25.84,26.18
うん,27.08,27.6
大人,29.11,29.42
買い,29.42,29.72
この場合,32.11,32.73
ヘビー,34.56,35.06
です,35.06,35.4
運命,36.1,36.51
じゃない,36.51,37.0
唯,37.03,37.38
ちゃん,37.38,37.85
